,time,ten9_comp,Total Stress,S3 Magnitude,Pressure,Temperature
0,-1.0,xx,-7.837356e+07,-7.837356e+07,6.003866e+07,345.83
1,-1.0,xy,4.2403533e-10,-7.837356e+07,6.003866e+07,345.83
2,-1.0,xz,0.0125584435,-7.837356e+07,6.003866e+07,345.83
3,-1.0,yx,4.2403533e-10,-7.837356e+07,6.003866e+07,345.83
4,-1.0,yy,-7.837361e+07,-7.837356e+07,6.003866e+07,345.83
5,-1.0,yz,-0.0068729636,-7.837356e+07,6.003866e+07,345.83
6,-1.0,zx,0.0125584435,-7.837356e+07,6.003866e+07,345.83
7,-1.0,zy,-0.0068729636,-7.837356e+07,6.003866e+07,345.83
8,-1.0,zz,-9.765239e+07,-7.837356e+07,6.003866e+07,345.83
9,10.0,xx,-7.837356e+07,-7.837356e+07,6.003866e+07,345.83
10,10.0,xy,4.2403533e-10,-7.837356e+07,6.003866e+07,345.83
11,10.0,xz,0.01255844,-7.837356e+07,6.003866e+07,345.83
12,10.0,yx,4.2403533e-10,-7.837356e+07,6.003866e+07,345.83
13,10.0,yy,-7.837361e+07,-7.837356e+07,6.003866e+07,345.83
14,10.0,yz,-0.0068729687,-7.837356e+07,6.003866e+07,345.83
15,10.0,zx,0.01255844,-7.837356e+07,6.003866e+07,345.83
16,10.0,zy,-0.0068729687,-7.837356e+07,6.003866e+07,345.83
17,10.0,zz,-9.765239e+07,-7.837356e+07,6.003866e+07,345.83
18,25.0,xx,-7.837356e+07,-7.837356e+07,6.003866e+07,345.83
19,25.0,xy,4.2403533e-10,-7.837356e+07,6.003866e+07,345.83
20,25.0,xz,0.012558435,-7.837356e+07,6.003866e+07,345.83
21,25.0,yx,4.2403533e-10,-7.837356e+07,6.003866e+07,345.83
22,25.0,yy,-7.837361e+07,-7.837356e+07,6.003866e+07,345.83
23,25.0,yz,-0.0068729674,-7.837356e+07,6.003866e+07,345.83
24,25.0,zx,0.012558435,-7.837356e+07,6.003866e+07,345.83
25,25.0,zy,-0.0068729674,-7.837356e+07,6.003866e+07,345.83
26,25.0,zz,-9.765239e+07,-7.837356e+07,6.003866e+07,345.83
27,47.5,xx,-7.837356e+07,-7.837356e+07,6.003866e+07,345.83
28,47.5,xy,4.2403533e-10,-7.837356e+07,6.003866e+07,345.83
29,47.5,xz,0.012558438,-7.837356e+07,6.003866e+07,345.83
30,47.5,yx,4.2403533e-10,-7.837356e+07,6.003866e+07,345.83
31,47.5,yy,-7.837361e+07,-7.837356e+07,6.003866e+07,345.83
32,47.5,yz,-0.0068729646,-7.837356e+07,6.003866e+07,345.83
33,47.5,zx,0.012558438,-7.837356e+07,6.003866e+07,345.83
34,47.5,zy,-0.0068729646,-7.837356e+07,6.003866e+07,345.83
35,47.5,zz,-9.765239e+07,-7.837356e+07,6.003866e+07,345.83
36,81.25,xx,-7.885291e+07,-7.884743e+07,6.278456e+07,345.90668
37,81.25,xy,4.919059e-10,-7.884743e+07,6.278456e+07,345.90668
38,81.25,xz,-694.201,-7.884743e+07,6.278456e+07,345.90668
39,81.25,yx,4.919059e-10,-7.884743e+07,6.278456e+07,345.90668
40,81.25,yy,-7.884743e+07,-7.884743e+07,6.278456e+07,345.90668
41,81.25,yz,1526.5144,-7.884743e+07,6.278456e+07,345.90668
42,81.25,zx,-694.201,-7.884743e+07,6.278456e+07,345.90668
43,81.25,zy,1526.5144,-7.884743e+07,6.278456e+07,345.90668
44,81.25,zz,-9.837035e+07,-7.884743e+07,6.278456e+07,345.90668
45,131.875,xx,-7.899528e+07,-7.899524e+07,6.3609876e+07,345.92773
46,131.875,xy,5.116808e-10,-7.899524e+07,6.3609876e+07,345.92773
47,131.875,xz,3796.0813,-7.899524e+07,6.3609876e+07,345.92773
48,131.875,yx,5.116808e-10,-7.899524e+07,6.3609876e+07,345.92773
49,131.875,yy,-7.899525e+07,-7.899524e+07,6.3609876e+07,345.92773
50,131.875,yz,4001.2383,-7.899524e+07,6.3609876e+07,345.92773
51,131.875,zx,3796.0813,-7.899524e+07,6.3609876e+07,345.92773
52,131.875,zy,4001.2383,-7.899524e+07,6.3609876e+07,345.92773
53,131.875,zz,-9.858329e+07,-7.899524e+07,6.3609876e+07,345.92773
54,207.8125,xx,-7.899528e+07,-7.899524e+07,6.3609876e+07,345.92773
55,207.8125,xy,5.116808e-10,-7.899524e+07,6.3609876e+07,345.92773
56,207.8125,xz,3796.0813,-7.899524e+07,6.3609876e+07,345.92773
57,207.8125,yx,5.116808e-10,-7.899524e+07,6.3609876e+07,345.92773
58,207.8125,yy,-7.899525e+07,-7.899524e+07,6.3609876e+07,345.92773
59,207.8125,yz,4001.2383,-7.899524e+07,6.3609876e+07,345.92773
60,207.8125,zx,3796.0813,-7.899524e+07,6.3609876e+07,345.92773
61,207.8125,zy,4001.2383,-7.899524e+07,6.3609876e+07,345.92773
62,207.8125,zz,-9.858329e+07,-7.899524e+07,6.3609876e+07,345.92773
63,321.71875,xx,-7.906971e+07,-7.906971e+07,6.430403e+07,345.94043
64,321.71875,xy,5.301307e-10,-7.906971e+07,6.430403e+07,345.94043
65,321.71875,xz,5439.6504,-7.906971e+07,6.430403e+07,345.94043
